Home,HScore,Away,Ascore,Hspread
Kansas 6,82.33,North Dakota St. 202,61.28,21.049999999999997
Texas Tech 10,81.01,Texas Southern 228,58.43,22.580000000000005
Texas 14,83.12,Houston Christian 344,54.34,28.78
Indiana 17,82.34,Bethune-Cookman 305,57.61,24.730000000000004
Ohio State 20,84.5,Charleston So. 329,58.38,26.119999999999997
Virginia Tech 31,80.21,Lehigh 282,59.46,20.749999999999993
Penn State 32,72.2,Loyola (MD) 239,55.19,17.010000000000005
Oklahoma State 35,71.51,S. Illinois 98,62.24,9.270000000000003
Creighton 40,82.94,North Dakota 339,58.59,24.349999999999994
Notre Dame 41,76.39,Radford 299,56.81,19.58
Saint Mary's 44,68.96,Vermont 83,62.95,6.009999999999991
Maryland 45,81.24,W. Carolina 280,62.04,19.199999999999996
Cincinnati 47,80.36,Cleveland State 242,63.21,17.15
Rutgers 50,78.78,Sacred Heart 295,59.81,18.97
USC 63,82.41,Alabama State 338,61.39,21.019999999999996
Wyoming 64,79.09,Nicholls 194,66.98,12.11
San Francisco 66,77.08,Cal Poly 247,62.12,14.96
Marquette 80,84.59,Cent. Michigan 327,64.8,19.790000000000006
Arizona State 85,74.88,N. Arizona 274,60.5,14.379999999999995
UMass 121,73.16,Towson 102,71.65,1.509999999999991
W. Kentucky 116,79.15,E. Kentucky 244,73.4,5.75
Santa Clara 117,78.16,GA Southern 226,67.78,10.379999999999995
Colgate 123,75.3,Brown 214,72.44,2.8599999999999994
Nebraska 129,84.8,Omaha 337,68.13,16.67
Stephen F. Austin 150,73.61,Gardner-Webb 209,67.58,6.030000000000001
Loyola Marymount 168,70.21,UC Riverside 170,67.44,2.769999999999996
UMass Lowell 174,75.07,Columbia 324,69.57,5.5
Illinois State 179,73.14,E. Illinois 355,63.06,10.079999999999998
Appalachian St. 195,71.77,NC Central 273,64.68,7.089999999999989
Quinnipiac 234,73.89,Stonehill 347,69.13,4.760000000000005
The Citadel 281,71.43,Presbyterian 293,67.89,3.5400000000000063
Alabama A&M 289,69.38,North Alabama 312,65.47,3.9099999999999966
